[2026-05-02T23:46:12.421+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:46:12.429+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:12.433+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:13.037+0000] {logging_mixin.py:190} INFO - Sent 208
[2026-05-02T23:46:13.043+0000] {logging_mixin.py:190} INFO - Sent 528
[2026-05-02T23:46:13.050+0000] {logging_mixin.py:190} INFO - Sent 145
[2026-05-02T23:46:13.057+0000] {logging_mixin.py:190} INFO - Sent 464
[2026-05-02T23:46:13.063+0000] {logging_mixin.py:190} INFO - Sent 320
[2026-05-02T23:46:13.071+0000] {logging_mixin.py:190} INFO - Sent 82
[2026-05-02T23:46:13.089+0000] {logging_mixin.py:190} INFO - Sent 39
[2026-05-02T23:46:13.122+0000] {logging_mixin.py:190} INFO - Sent 271
[2026-05-02T23:46:13.129+0000] {logging_mixin.py:190} INFO - Sent 79
[2026-05-02T23:46:13.137+0000] {logging_mixin.py:190} INFO - Sent 2
[2026-05-02T23:46:13.147+0000] {logging_mixin.py:190} INFO - Sent 564
[2026-05-02T23:46:13.158+0000] {logging_mixin.py:190} INFO - Sent 462
[2026-05-02T23:46:13.165+0000] {logging_mixin.py:190} INFO - Sent 334
[2026-05-02T23:46:13.171+0000] {logging_mixin.py:190} INFO - Sent 228
[2026-05-02T23:46:13.178+0000] {logging_mixin.py:190} INFO - Sent 118
[2026-05-02T23:46:13.185+0000] {logging_mixin.py:190} INFO - Sent 78
[2026-05-02T23:46:13.191+0000] {logging_mixin.py:190} INFO - Sent 188
[2026-05-02T23:46:13.198+0000] {logging_mixin.py:190} INFO - Sent 331
[2026-05-02T23:46:13.205+0000] {logging_mixin.py:190} INFO - Sent 196
[2026-05-02T23:46:13.211+0000] {logging_mixin.py:190} INFO - Sent 11
[2026-05-02T23:46:13.217+0000] {logging_mixin.py:190} INFO - Sent 395
[2026-05-02T23:46:13.224+0000] {logging_mixin.py:190} INFO - Sent 177
[2026-05-02T23:46:13.231+0000] {logging_mixin.py:190} INFO - Sent 538
[2026-05-02T23:46:13.237+0000] {logging_mixin.py:190} INFO - Sent 482
[2026-05-02T23:46:13.245+0000] {logging_mixin.py:190} INFO - Sent 235
