[2026-05-02T23:42:40.913+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:42:40.921+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:40.926+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:41.491+0000] {logging_mixin.py:190} INFO - Sent 208
[2026-05-02T23:42:41.498+0000] {logging_mixin.py:190} INFO - Sent 528
[2026-05-02T23:42:41.504+0000] {logging_mixin.py:190} INFO - Sent 145
[2026-05-02T23:42:41.511+0000] {logging_mixin.py:190} INFO - Sent 464
[2026-05-02T23:42:41.523+0000] {logging_mixin.py:190} INFO - Sent 320
[2026-05-02T23:42:41.529+0000] {logging_mixin.py:190} INFO - Sent 82
[2026-05-02T23:42:41.537+0000] {logging_mixin.py:190} INFO - Sent 39
[2026-05-02T23:42:41.544+0000] {logging_mixin.py:190} INFO - Sent 271
[2026-05-02T23:42:41.550+0000] {logging_mixin.py:190} INFO - Sent 79
[2026-05-02T23:42:41.560+0000] {logging_mixin.py:190} INFO - Sent 2
[2026-05-02T23:42:41.567+0000] {logging_mixin.py:190} INFO - Sent 564
[2026-05-02T23:42:41.573+0000] {logging_mixin.py:190} INFO - Sent 462
[2026-05-02T23:42:41.579+0000] {logging_mixin.py:190} INFO - Sent 334
[2026-05-02T23:42:41.586+0000] {logging_mixin.py:190} INFO - Sent 228
[2026-05-02T23:42:41.592+0000] {logging_mixin.py:190} INFO - Sent 118
[2026-05-02T23:42:41.599+0000] {logging_mixin.py:190} INFO - Sent 78
[2026-05-02T23:42:41.605+0000] {logging_mixin.py:190} INFO - Sent 188
[2026-05-02T23:42:41.611+0000] {logging_mixin.py:190} INFO - Sent 331
